archivo,descripcion,categoria,pagina_origen,pagina_titulo,url_pagina,url_imagen_original,texto_alternativo,tamano_bytes
23920b_8ed443f00de44518b9de3c3eb52358f4_mv2.png,Logo institucional del Colegio Esquiú,logo,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_8ed443f00de44518b9de3c3eb52358f4~mv2.png,Logo-del-Colegio,74350
02f47b1bdd6db511fe2aff10d95f8b32.jpg,Foto / imagen institucional usada en la página 'Inicio',foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_5928dcf0d51445b68c3e70d946641492f000.jpg,,359659
23920b_20214432fc41443aa1fa6dbb0b06bb95_mv2.jpg,Foto / imagen institucional usada en la página 'Inicio',foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_20214432fc41443aa1fa6dbb0b06bb95~mv2.jpg,DSCN8256_edited.jpg,625785
23920b_f41508d29c2e4b1480b51e238efbc920_mv2.png,Foto / imagen institucional usada en la página 'Inicio',foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_f41508d29c2e4b1480b51e238efbc920~mv2.png,Captura de pantalla 2023-10-09 a la(s) 12.43.43.png,678820
23920b_51a1e3cf853f4911a5d01406de390cac_mv2.jpeg,Foto / imagen institucional usada en la página 'Inicio',foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_51a1e3cf853f4911a5d01406de390cac~mv2.jpeg,img_8796.jpeg,126318
23920b_319451fd9b044ef99e4aedda5e700b87_mv2.png,Foto / imagen institucional usada en la página 'Inicio',foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_319451fd9b044ef99e4aedda5e700b87~mv2.png,Captura de pantalla 2023-10-09 a la(s) 12.50.35.png,97255
11062b_6cdfa14addbd4cdbae7221c14b71c1fe_mv2.jpeg,"Foto en la página 'Inicio' — texto alternativo original: ""Profesor Inglés""",foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/11062b_6cdfa14addbd4cdbae7221c14b71c1fe~mv2.jpeg,Profesor Inglés,1355094
23920b_ff22474362b941368ed0e09dcc529f3a_mv2.jpg,Foto / imagen institucional usada en la página 'Inicio',foto-inicio,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/23920b_ff22474362b941368ed0e09dcc529f3a~mv2.jpg,download_edited.jpg,9598
8d6893330740455c96d218258a458aa4.png,Ícono de interfaz / red social (Instagram),icono,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/8d6893330740455c96d218258a458aa4.png,Instagram,23259
01c3aff52f2a4dffa526d7a9843d46ea.png,Ícono de interfaz / red social (alt.text.label.Instagram),icono,inicio,Inicio,https://www.colegioesquiu.edu.ar/,https://static.wixstatic.com/media/01c3aff52f2a4dffa526d7a9843d46ea.png,alt.text.label.Instagram,21665
23920b_cd9882384d904749932b0459538a0832_mv2.jpeg,Foto / imagen institucional usada en la página 'Admisión',foto-admision,admision,Admisiones,https://www.colegioesquiu.edu.ar/admision,https://static.wixstatic.com/media/23920b_cd9882384d904749932b0459538a0832~mv2.jpeg,,5090983
fae3feca32ab47c9e470ddf90f338fbd.jpg,Foto / imagen institucional usada en la página 'Proyecto Pedagógico',foto-proyecto-pedagogico,proyecto-pedagogico,Proyecto Pedagógico,https://www.colegioesquiu.edu.ar/proyecto-pedagógico,https://static.wixstatic.com/media/11062b_a31333ec26cd42788ce55aad613df795f000.jpg,,267257
11062b_88da0e9f02a647f382a0c4041995f5e0_mv2.jpg,"Foto en la página 'Proyecto Pedagógico' — texto alternativo original: ""Papelería de jardín de infantes""",foto-proyecto-pedagogico,proyecto-pedagogico,Proyecto Pedagógico,https://www.colegioesquiu.edu.ar/proyecto-pedagógico,https://static.wixstatic.com/media/11062b_88da0e9f02a647f382a0c4041995f5e0~mv2.jpg,Papelería de jardín de infantes,3423112
23920b_439bed32286c4d07bc087d256957054f_mv2.png,Foto / imagen institucional usada en la página 'Proyecto Pedagógico',foto-proyecto-pedagogico,proyecto-pedagogico,Proyecto Pedagógico,https://www.colegioesquiu.edu.ar/proyecto-pedagógico,https://static.wixstatic.com/media/23920b_439bed32286c4d07bc087d256957054f~mv2.png,Captura de pantalla 2023-11-09 a la(s) 16.18.19.png,286024
11062b_4f19822df8a749c3b5f9731dd1421136_mv2.jpg,"Foto en la página 'Proyecto Pedagógico' — texto alternativo original: ""mochila escolar""",foto-proyecto-pedagogico,proyecto-pedagogico,Proyecto Pedagógico,https://www.colegioesquiu.edu.ar/proyecto-pedagógico,https://static.wixstatic.com/media/11062b_4f19822df8a749c3b5f9731dd1421136~mv2.jpg,mochila escolar,5046567
bd0728a98e5141ed8762dacec3b08c20.jpg,"Foto en la página 'Proyecto Pedagógico' — texto alternativo original: ""Los estudiantes adultos""",foto-proyecto-pedagogico,proyecto-pedagogico,Proyecto Pedagógico,https://www.colegioesquiu.edu.ar/proyecto-pedagógico,https://static.wixstatic.com/media/bd0728a98e5141ed8762dacec3b08c20.jpg,Los estudiantes adultos,9825880
71d533c3c65802637241505c6d42aac1.jpg,Foto / imagen institucional usada en la página 'Áreas Transversales',foto-areas-transversales,areas-transversales,Áreas Transversales (índice),https://www.colegioesquiu.edu.ar/areas-transversales-1,https://static.wixstatic.com/media/11062b_e0f9dd1d0ad14eb58a48a9ad2bd7981ef000.jpg,,410553
23920b_21738c07b80b4736a3d3ab228c2ff6fd_mv2.png,Foto / imagen institucional usada en la página 'Educación Física',foto-tecnologia,tecnologia,Tecnología,https://www.colegioesquiu.edu.ar/copia-de-ed-fisica,https://static.wixstatic.com/media/23920b_21738c07b80b4736a3d3ab228c2ff6fd~mv2.png,Captura de pantalla 2025-06-11 a la(s) 11.20.41 a. m..png,1280424
23920b_7ecf9451cab947789cd93a95bbcb9d42_mv2.jpg,Foto / imagen institucional usada en la página 'Inglés',foto-pastoral-catequesis,pastoral-catequesis,Pastoral / Catequesis,https://www.colegioesquiu.edu.ar/copia-de-ingles,https://static.wixstatic.com/media/23920b_7ecf9451cab947789cd93a95bbcb9d42~mv2.jpg,DSC_0180_edited.jpg,315157
537849ec6f4c236ed99657093457b9da.jpg,Foto / imagen institucional usada en la página 'Pastoral',foto-educacion-fisica,educacion-fisica,Educación Física,https://www.colegioesquiu.edu.ar/copia-de-pastoral,https://static.wixstatic.com/media/23920b_3d56deac42da4c7290ebb9fb2a38074ef000.jpg,,48739
23920b_8332d2c8093042159f47c645873a6752_mv2.png,Foto / imagen institucional usada en la página 'Pastoral',foto-educacion-fisica,educacion-fisica,Educación Física,https://www.colegioesquiu.edu.ar/copia-de-pastoral,https://static.wixstatic.com/media/23920b_8332d2c8093042159f47c645873a6752~mv2.png,Captura de pantalla 2023-11-14 a la(s) 16.50.29.png,1173843
234705a77b7b4aae825b096666ebbd41.jpg,"Foto en la página 'Pastoral (DOE / vínculos)' — texto alternativo original: ""tomados de la mano""",foto-doe,doe,Departamento de Orientación Escolar (DOE),https://www.colegioesquiu.edu.ar/copia-de-pastoral-1,https://static.wixstatic.com/media/234705a77b7b4aae825b096666ebbd41.jpg,tomados de la mano,9127468
23920b_2e309af9c9fa426793ae3516361c948c_mv2.jpeg,"Foto en la página 'Servicios' — texto alternativo original: ""quienes_somos.jpeg""",foto-servicios,servicios,Servicios,https://www.colegioesquiu.edu.ar/servicios,https://static.wixstatic.com/media/23920b_2e309af9c9fa426793ae3516361c948c~mv2.jpeg,quienes_somos.jpeg,378472
23920b_e32b50d77ee54050ba694e1d21814dc3_mv2.jpg,Foto / imagen institucional usada en la página 'Servicios',foto-servicios,servicios,Servicios,https://www.colegioesquiu.edu.ar/servicios,https://static.wixstatic.com/media/23920b_e32b50d77ee54050ba694e1d21814dc3~mv2.jpg,download_edited.jpg,5416
23920b_3543d197799f4e609cb93bfa49b8032f_mv2.png,Foto / imagen institucional usada en la página 'Servicios',foto-servicios,servicios,Servicios,https://www.colegioesquiu.edu.ar/servicios,https://static.wixstatic.com/media/23920b_3543d197799f4e609cb93bfa49b8032f~mv2.png,download-1.png,2999
23920b_4059ddcb515f4b448f767f11f4dca614_mv2.png,Foto / imagen institucional usada en la página 'Servicios',foto-servicios,servicios,Servicios,https://www.colegioesquiu.edu.ar/servicios,https://static.wixstatic.com/media/23920b_4059ddcb515f4b448f767f11f4dca614~mv2.png,download-3.png,3333
23920b_ba8e3b3746714395ae9e3fc0b3265cc0_mv2.png,Foto / imagen institucional usada en la página 'Servicios',foto-servicios,servicios,Servicios,https://www.colegioesquiu.edu.ar/servicios,https://static.wixstatic.com/media/23920b_ba8e3b3746714395ae9e3fc0b3265cc0~mv2.png,Captura de pantalla 2024-01-24 a la(s) 14.06.34.png,11886
23920b_a8d892ee9e9a477d8c9915c7dc76ff67_mv2.png,Foto de perfil de Patricia Doria Medina (Rectora),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_a8d892ee9e9a477d8c9915c7dc76ff67~mv2.png,patofinal.png,441638
6ea5b4a88f0b4f91945b40499aa0af00.png,"Foto en la página 'Nuestro Equipo' — texto alternativo original: ""LinkedIn""",foto-equipo,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/6ea5b4a88f0b4f91945b40499aa0af00.png,LinkedIn,1213
23920b_851ee93103ca4b978e8dc15c7816944e_mv2.png,Foto de perfil de Silvia Lavandeira Fonte (Directora Nivel Inicial),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_851ee93103ca4b978e8dc15c7816944e~mv2.png,silvi.png,427356
23920b_9958205485674be383dd80319839f1d8_mv2.png,Foto de perfil de Carolina Pinto (Directora Inglés Nivel Primario e Inicial),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_9958205485674be383dd80319839f1d8~mv2.png,caroline final.png,414252
23920b_171eed39a5014502ae90c465d5c5ef9f_mv2.png,Foto de perfil de María José Castro Gil (Vicedirección Nivel Primaria),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_171eed39a5014502ae90c465d5c5ef9f~mv2.png,Majo.png,1434307
23920b_a0a01adbf52e4584a09259a5ad4bb354_mv2.png,Foto de perfil de Rosario Avendaño (Coordinadora DOE),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_a0a01adbf52e4584a09259a5ad4bb354~mv2.png,RO.png,471105
23920b_5afe49c9465e4d38bf5359182c581d36_mv2.png,Foto de perfil de Lucas Walton (Coordinador de Pastoral),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_5afe49c9465e4d38bf5359182c581d36~mv2.png,Walton.png,431002
23920b_5a82082a38474b8188b558a8ecb11d9f_mv2.png,Foto de perfil de Fernanda Marsicovetere (Secretaria Nivel Primario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_5a82082a38474b8188b558a8ecb11d9f~mv2.png,FerM.png,1243722
23920b_7ae6a66795a94a518f24c651a2c5f7a9_mv2.png,Foto de perfil de Pablo Sanchez Terrero (Gerente de Administración),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_7ae6a66795a94a518f24c651a2c5f7a9~mv2.png,PST.png,420948
23920b_885dac3b96e94535a8a5c7b3cf67b532_mv2.png,Foto de perfil de María Laura Castro (Directora Nivel Primario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_885dac3b96e94535a8a5c7b3cf67b532~mv2.png,ML.png,351710
23920b_1599e538f24d470d9df57b462f6ff03d_mv2.png,Foto de perfil de Adriana Premuz (Directora Inglés Nivel Secundario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_1599e538f24d470d9df57b462f6ff03d~mv2.png,premuzfinal.png,446401
23920b_8c6e885d16ae41b584aaa236b3f23496_mv2.png,Foto de perfil de M. Victoria Garcia Bouza (Directora de Estudios Nivel Secundaria),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_8c6e885d16ae41b584aaa236b3f23496~mv2.png,vicky.png,392135
23920b_885bbacd77e74928ae3af40661c4b504_mv2.png,Foto de perfil de Ignacio Raña Gómez (Coordinador Educación Física),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_885bbacd77e74928ae3af40661c4b504~mv2.png,nacho.png,466280
23920b_7749ec293e5c4a01b53c0a0b614e0c44_mv2.png,Foto de perfil de Gisela Esteban (Coordinadora de Convivencia),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_7749ec293e5c4a01b53c0a0b614e0c44~mv2.png,Gigi.png,1125959
23920b_1df8f97125974caeaa056e8ed71b410a_mv2.png,Foto de perfil de María B. Arana (Secretaria Nivel Inicial),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_1df8f97125974caeaa056e8ed71b410a~mv2.png,maribe.png,1092615
23920b_7e7cf52811ac45b8b2a4a5c4889d01ef_mv2.png,Foto de perfil de Luz Nievas Zabala (Secretaria Nivel Secundario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_7e7cf52811ac45b8b2a4a5c4889d01ef~mv2.png,luz.png,1288857
ce6fab3b25f31f6a063722a0b558b21b.jpg,Foto / imagen institucional usada en la página 'Exalumnos',foto-exalumnos,exalumnos,Exalumnos,https://www.colegioesquiu.edu.ar/exalumnos,https://static.wixstatic.com/media/11062b_00a8c83765b041e99f229f795e93bc7ef000.jpg,,75806
11062b_1f34b07884f2470d979b207dbedc0e5e_mv2.jpeg,"Foto en la página 'General (Nivel Inicial)' — texto alternativo original: ""Alfabetos de colores""",foto-ingles,ingles,Inglés (Educación Bilingüe),https://www.colegioesquiu.edu.ar/general-6,https://static.wixstatic.com/media/11062b_1f34b07884f2470d979b207dbedc0e5e~mv2.jpeg,Alfabetos de colores,6712111
23920b_27549f915c9548288af5df633bbb78d8_mv2.png,Foto / imagen institucional usada en la página 'Galería institucional',foto-historia-mision-vision,historia-mision-vision,Acerca de / Nuestra Historia / Misión y Visión,https://www.colegioesquiu.edu.ar/blank-1,https://static.wixstatic.com/media/23920b_27549f915c9548288af5df633bbb78d8~mv2.png,IMG_8875.HEIC,16755370
23920b_c821f0c5ef81453da41cde1e3605452f_mv2.jpg,Foto / imagen institucional usada en la página 'Galería institucional',foto-historia-mision-vision,historia-mision-vision,Acerca de / Nuestra Historia / Misión y Visión,https://www.colegioesquiu.edu.ar/blank-1,https://static.wixstatic.com/media/23920b_c821f0c5ef81453da41cde1e3605452f~mv2.jpg,DSC_0153.JPG,10838467
23920b_23533dc0d5d54ad88fb1ab3109841323_mv2.png,Foto / imagen institucional usada en la página 'Página de agradecimiento (post-formulario)',foto-gracias,gracias,Gracias (confirmación de formulario),https://www.colegioesquiu.edu.ar/gracias,https://static.wixstatic.com/media/23920b_23533dc0d5d54ad88fb1ab3109841323~mv2.png,IMG_8873.HEIC,13257887
